"","k","seed","ncpts","nit","aicc"
"2222",11,118,1,100,1053.83210827322
"2223",12,118,1,100,-965.541833447467
"2224",13,118,1,100,-288.453448092475
"2225",14,118,1,100,-149.082021158929
"2226",15,118,1,100,-88.4657645549392
"2227",2,120,1,100,32.4803533144144
"2228",3,120,1,100,49.1830068248069
"2229",4,120,1,100,69.2288229174359
"2230",5,120,1,100,87.7565461167768
"2231",6,120,1,100,108.383730939468
"2232",7,120,1,100,136.538847393653
"2233",8,120,1,100,177.725568920014
"2234",9,120,1,100,240.510805284673
"2235",10,120,1,100,377.612610270138
"2236",11,120,1,100,1056.75213966638
"2237",12,120,1,100,-968.113576317553
"2238",13,120,1,100,-288.805571831443
"2239",14,120,1,100,-148.860268611244
"2240",15,120,1,100,-89.3031073194017
"2241",2,122,1,100,31.6463543375888
"2242",3,122,1,100,51.67567999221
"2243",4,122,1,100,69.8633685623838
"2244",5,122,1,100,87.1155659912701
"2245",6,122,1,100,108.692163269754
"2246",7,122,1,100,138.452189173502
"2247",8,122,1,100,175.843059651939
"2248",9,122,1,100,237.025837653869
"2249",10,122,1,100,377.20279845112
"2250",11,122,1,100,1054.48551682649
"2251",12,122,1,100,-966.167562268101
"2252",13,122,1,100,-291.234262804319
"2253",14,122,1,100,-151.798981791682
"2254",15,122,1,100,-88.2353922384819
"2255",2,124,1,100,33.2931577365287
"2256",3,124,1,100,53.1657617189409
"2257",4,124,1,100,67.7771202472348
"2258",5,124,1,100,90.1409696674682
"2259",6,124,1,100,110.567192599287
"2260",7,124,1,100,137.029010536341
"2261",8,124,1,100,178.382635809936
"2262",9,124,1,100,238.868362904768
"2263",10,124,1,100,378.002163497153
"2264",11,124,1,100,1055.64307383433
"2265",12,124,1,100,-967.592780969128
"2266",13,124,1,100,-291.176199043877
"2267",14,124,1,100,-151.725044039623
"2268",15,124,1,100,-92.5314372948385
"2269",2,126,1,100,27.7748622265386
"2270",3,126,1,100,55.4681970237032
"2271",4,126,1,100,69.3370508221384
"2272",5,126,1,100,89.1663421790578
"2273",6,126,1,100,111.640284642198
"2274",7,126,1,100,137.013540407472
"2275",8,126,1,100,174.166381970537
"2276",9,126,1,100,231.086518894368
"2277",10,126,1,100,368.827266954973
"2278",11,126,1,100,1051.03298784186
"2279",12,126,1,100,-969.513791137688
"2280",13,126,1,100,-290.360585381874
"2281",14,126,1,100,-152.412914483712
"2282",15,126,1,100,-90.6575877608733
"2283",2,128,1,100,31.0095587267005
"2284",3,128,1,100,51.0569132385913
"2285",4,128,1,100,70.2127969748683
"2286",5,128,1,100,86.6050001910125
"2287",6,128,1,100,105.671823580339
"2288",7,128,1,100,130.184049496616
"2289",8,128,1,100,173.58320749135
"2290",9,128,1,100,238.547254000133
"2291",10,128,1,100,375.891098820666
"2292",11,128,1,100,1052.96972919315
"2293",12,128,1,100,-965.910970626052
"2294",13,128,1,100,-287.160340832091
"2295",14,128,1,100,-150.929313011375
"2296",15,128,1,100,-89.8134050845924
"2297",2,130,1,100,30.8307163104435
"2298",3,130,1,100,50.6933088143558
"2299",4,130,1,100,66.62071886239
"2300",5,130,1,100,88.8564336260612
"2301",6,130,1,100,111.818037342558
"2302",7,130,1,100,138.637105596617
"2303",8,130,1,100,175.678550774154
"2304",9,130,1,100,236.51750400578
"2305",10,130,1,100,374.658224256269
"2306",11,130,1,100,1054.6478565234
"2307",12,130,1,100,-964.411712263431
"2308",13,130,1,100,-287.701987589228
"2309",14,130,1,100,-149.649733712201
"2310",15,130,1,100,-87.4182216544526
"2311",2,132,1,100,32.5506674133449
"2312",3,132,1,100,53.1046867672339
"2313",4,132,1,100,70.4960496526688
"2314",5,132,1,100,85.0947443231587
"2315",6,132,1,100,109.299003716078
"2316",7,132,1,100,136.642008776496
"2317",8,132,1,100,175.90497195784
"2318",9,132,1,100,236.461689128774
"2319",10,132,1,100,377.289394935864
"2320",11,132,1,100,1055.51377810351
"2321",12,132,1,100,-968.291985357005
"2322",13,132,1,100,-286.686142461822
"2323",14,132,1,100,-149.191451367587
"2324",15,132,1,100,-88.1156919916683
"2325",2,134,1,100,30.4641096312949
"2326",3,134,1,100,47.1846011913953
"2327",4,134,1,100,69.824780830763
"2328",5,134,1,100,92.73540953628
"2329",6,134,1,100,114.514822492682
"2330",7,134,1,100,135.862351874802
"2331",8,134,1,100,173.055809366093
"2332",9,134,1,100,234.280124021609
"2333",10,134,1,100,377.695080257432
"2334",11,134,1,100,1056.0810044809
"2335",12,134,1,100,-964.20238214114
"2336",13,134,1,100,-285.823420812574
"2337",14,134,1,100,-148.874552721013
"2338",15,134,1,100,-88.6615414948161
"2339",2,136,1,100,32.2913448205726
"2340",3,136,1,100,53.7602063062981
"2341",4,136,1,100,71.0689867983837
"2342",5,136,1,100,90.397747470519
"2343",6,136,1,100,108.960818564483
"2344",7,136,1,100,140.02453263824
"2345",8,136,1,100,177.847539405834
"2346",9,136,1,100,237.799662151739
"2347",10,136,1,100,376.942763955188
"2348",11,136,1,100,1055.70217973233
"2349",12,136,1,100,-965.371610280021
"2350",13,136,1,100,-290.563529291093
"2351",14,136,1,100,-152.709713750535
"2352",15,136,1,100,-89.5588867142996
"2353",2,138,1,100,31.8038421015717
"2354",3,138,1,100,50.7626109488113
"2355",4,138,1,100,69.9754478993641
"2356",5,138,1,100,86.8589208984551
"2357",6,138,1,100,107.190274100663
"2358",7,138,1,100,137.274777040805
"2359",8,138,1,100,173.939794195559
"2360",9,138,1,100,237.611090363767
"2361",10,138,1,100,379.015437571087
"2362",11,138,1,100,1052.65821386541
"2363",12,138,1,100,-969.340017552729
"2364",13,138,1,100,-289.066749532302
"2365",14,138,1,100,-147.409148616257
"2366",15,138,1,100,-87.5931698526242
"2367",2,140,1,100,31.8524742795286
"2368",3,140,1,100,44.173574388019
"2369",4,140,1,100,71.6706984714653
"2370",5,140,1,100,91.5061966381995
"2371",6,140,1,100,108.929900511873
"2372",7,140,1,100,135.173123193373
"2373",8,140,1,100,172.938879721734
"2374",9,140,1,100,232.880879588497
"2375",10,140,1,100,376.659804620015
"2376",11,140,1,100,1055.79349394119
"2377",12,140,1,100,-964.575278049929
"2378",13,140,1,100,-288.144102470899
"2379",14,140,1,100,-149.190986984147
"2380",15,140,1,100,-89.7124312720111
"2381",2,142,1,100,31.5763387893498
"2382",3,142,1,100,49.8293872428
"2383",4,142,1,100,65.2500752616434
"2384",5,142,1,100,83.339024114287
"2385",6,142,1,100,111.995512611608
"2386",7,142,1,100,133.859224012363
"2387",8,142,1,100,171.530595050517
"2388",9,142,1,100,235.863309280212
"2389",10,142,1,100,373.650558828726
"2390",11,142,1,100,1051.61581882091
"2391",12,142,1,100,-970.824779384333
"2392",13,142,1,100,-292.918211433019
"2393",14,142,1,100,-151.380993367429
"2394",15,142,1,100,-90.3076784328825
"2395",2,144,1,100,31.9727971304258
"2396",3,144,1,100,51.7813989234842
"2397",4,144,1,100,69.2283026995087
"2398",5,144,1,100,84.6607423716581
"2399",6,144,1,100,111.13816972135
"2400",7,144,1,100,139.986513234788
"2401",8,144,1,100,178.359695740762
"2402",9,144,1,100,237.426684897362
"2403",10,144,1,100,379.184042554022
"2404",11,144,1,100,1059.10721811422
"2405",12,144,1,100,-963.427565423951
"2406",13,144,1,100,-289.285653166233
"2407",14,144,1,100,-150.743282404617
"2408",15,144,1,100,-88.8958748221999
"2409",2,146,1,100,28.7832817666896
"2410",3,146,1,100,50.9903179659037
"2411",4,146,1,100,67.6071334624539
"2412",5,146,1,100,87.1968778585168
"2413",6,146,1,100,111.032321464765
"2414",7,146,1,100,137.357377264562
"2415",8,146,1,100,176.991353397456
"2416",9,146,1,100,237.791972635078
"2417",10,146,1,100,377.556415222121
"2418",11,146,1,100,1055.24368960823
"2419",12,146,1,100,-964.615241378912
"2420",13,146,1,100,-287.907454636064
"2421",14,146,1,100,-149.789052029072
"2422",15,146,1,100,-90.279494586588
"2423",2,148,1,100,38.4718339470441
"2424",3,148,1,100,50.8779772087718
"2425",4,148,1,100,68.9656698134729
"2426",5,148,1,100,86.2138249468447
"2427",6,148,1,100,111.889049605305
"2428",7,148,1,100,136.287894345708
"2429",8,148,1,100,170.959325847702
"2430",9,148,1,100,235.125645757547
"2431",10,148,1,100,375.51895288199
"2432",11,148,1,100,1054.97970647672
"2433",12,148,1,100,-965.993805475031
"2434",13,148,1,100,-293.663552310723
"2435",14,148,1,100,-154.610894338568
"2436",15,148,1,100,-92.5697990392853
"2437",2,150,1,100,31.8907770119766
"2438",3,150,1,100,48.959306988395
"2439",4,150,1,100,69.0353565048053
"2440",5,150,1,100,90.34780190661
"2441",6,150,1,100,108.219687075846
"2442",7,150,1,100,137.800598604403
"2443",8,150,1,100,175.860936190042
"2444",9,150,1,100,233.42165732506
"2445",10,150,1,100,375.04142805126
"2446",11,150,1,100,1055.52592211231
"2447",12,150,1,100,-964.892039957686
"2448",13,150,1,100,-288.659001556451
"2449",14,150,1,100,-149.894105475752
"2450",15,150,1,100,-92.3324478080569
"2451",2,152,1,100,31.0647729788894
"2452",3,152,1,100,51.0652166721067
"2453",4,152,1,100,67.4285636336597
"2454",5,152,1,100,80.3658767926333
"2455",6,152,1,100,105.84658413888
"2456",7,152,1,100,138.495096600953
"2457",8,152,1,100,175.257512973319
"2458",9,152,1,100,236.277568139896
"2459",10,152,1,100,376.160004726598
"2460",11,152,1,100,1056.98100458955
"2461",12,152,1,100,-965.311344069119
"2462",13,152,1,100,-288.739689240041
"2463",14,152,1,100,-151.381277719756
"2464",15,152,1,100,-89.6922814645644
"2465",2,154,1,100,28.6479768384364
"2466",3,154,1,100,49.2761119935396
"2467",4,154,1,100,65.8787820092659
"2468",5,154,1,100,84.6298179443915
"2469",6,154,1,100,111.547848709034
"2470",7,154,1,100,138.327246528771
"2471",8,154,1,100,174.33170782141
"2472",9,154,1,100,237.79438125216
"2473",10,154,1,100,376.855726612986
"2474",11,154,1,100,1055.91482405742
"2475",12,154,1,100,-965.276542877392
"2476",13,154,1,100,-287.936008321754
"2477",14,154,1,100,-148.613998879763
"2478",15,154,1,100,-87.3363174107205
"2479",2,156,1,100,31.8822768791044
"2480",3,156,1,100,49.6928305135074
"2481",4,156,1,100,67.3354920150289
"2482",5,156,1,100,83.4102067349241
"2483",6,156,1,100,107.224653874093
"2484",7,156,1,100,134.710471069059
"2485",8,156,1,100,170.865508427112
"2486",9,156,1,100,235.2414581084
"2487",10,156,1,100,375.346379718884
"2488",11,156,1,100,1053.51364354356
"2489",12,156,1,100,-967.315399109926
"2490",13,156,1,100,-288.225638688778
"2491",14,156,1,100,-151.22816715783
"2492",15,156,1,100,-89.2388131329682
"2493",2,158,1,100,32.9421499229498
"2494",3,158,1,100,46.5869114690921
"2495",4,158,1,100,66.5474935867572
"2496",5,158,1,100,87.8873788185725
"2497",6,158,1,100,107.699336696173
"2498",7,158,1,100,137.715997705277
"2499",8,158,1,100,176.221412802783
"2500",9,158,1,100,236.795162880547
"2501",10,158,1,100,377.024817513794
"2502",11,158,1,100,1053.86718174037
"2503",12,158,1,100,-966.280834391379
"2504",13,158,1,100,-290.861467242232
"2505",14,158,1,100,-151.813303459886
"2506",15,158,1,100,-90.2124651496943
"2507",2,160,1,100,31.1786663391755
"2508",3,160,1,100,50.1769048937228
"2509",4,160,1,100,70.4938561551724
"2510",5,160,1,100,86.9605248814843
"2511",6,160,1,100,110.045616422928
"2512",7,160,1,100,137.977098988024
"2513",8,160,1,100,173.394497346931
"2514",9,160,1,100,237.51982773205
"2515",10,160,1,100,378.13664592568
"2516",11,160,1,100,1057.43702361919
"2517",12,160,1,100,-967.138421176851
"2518",13,160,1,100,-288.330301349426
"2519",14,160,1,100,-149.38826167676
"2520",15,160,1,100,-87.4591788650084
"2521",2,162,1,100,29.945045612804
"2522",3,162,1,100,49.8698132282738
"2523",4,162,1,100,69.5774967555119
"2524",5,162,1,100,87.4680346053358
"2525",6,162,1,100,108.245265270888
"2526",7,162,1,100,136.237835820448
"2527",8,162,1,100,173.057652617967
"2528",9,162,1,100,236.079291229634
"2529",10,162,1,100,375.241981118502
"2530",11,162,1,100,1054.41440221079
"2531",12,162,1,100,-969.023911781019
"2532",13,162,1,100,-290.646547024415
"2533",14,162,1,100,-147.562797089086
"2534",15,162,1,100,-91.1532275202692
"2535",2,164,1,100,30.1705966236949
"2536",3,164,1,100,51.6601753686269
"2537",4,164,1,100,69.8928522031444
"2538",5,164,1,100,90.4974920002248
"2539",6,164,1,100,114.237659467553
"2540",7,164,1,100,140.086224952071
"2541",8,164,1,100,177.104883525918
"2542",9,164,1,100,234.732853789338
"2543",10,164,1,100,373.098406652725
"2544",11,164,1,100,1054.23165716748
"2545",12,164,1,100,-965.977540607956
"2546",13,164,1,100,-289.977022290551
"2547",14,164,1,100,-152.231494583016
"2548",15,164,1,100,-89.909357930364
"2549",2,166,1,100,31.6165868888922
"2550",3,166,1,100,46.4407619688033
"2551",4,166,1,100,66.7430689173712
"2552",5,166,1,100,81.597233403833
"2553",6,166,1,100,107.686145978033
"2554",7,166,1,100,133.812942374396
"2555",8,166,1,100,170.3952632307
"2556",9,166,1,100,234.110991208173
"2557",10,166,1,100,376.068109635958
"2558",11,166,1,100,1053.23170493887
"2559",12,166,1,100,-966.343392061612
"2560",13,166,1,100,-288.688475313839
"2561",14,166,1,100,-148.326235398856
